primary_name,Type,GAMES,CHARGESPERPERSON,DURATION,ANYOutdoorINFORMATION,MINMAXCAPONNUMBEROFGUESTS
Sterling Kodai Lake,Indoor,Table Tennis,NA,,They can play singles and doubles also,Min 2/Max 4
Sterling Kodai Lake,Indoor,Zenga,NA,,2 person or Group can play together,Min 2/Max 4
Sterling Kodai Lake,Indoor,Connect 4,NA,,,Min 2/Max 4
Sterling Kodai Lake,Indoor,Carrom,NA,,,Min 2/Max 4
Sterling Kodai Lake,Indoor,Chess,NA,,,Min 2/Max 2
Sterling Kodai Lake,Indoor,Board Games,NA,,,Min 2/Max 4
Sterling Kodai Lake,Indoor,Cricket,NA,,,Group
Sterling Kodai Lake,Indoor,Water pellet shoots,250+23.9%tax(18%Gst+5% SC),1 round,In between they want to change a player they can change,Depend
Sterling Kodai Lake,Indoor,Air Hockey,100+(18% Gst + 5% SC),15 mins,In between they want to change a player they can change,Min 2/Max 2
Sterling Kodai Lake,Indoor,Kids Corner,NA,,,Depend
Sterling Kodai Lake,Indoor,Pool Table,100+(18% Gst + 5% SC),30 mins,,Depend
Sterling Kodai Lake,Indoor,VR Game,250+(18% Gst + 5% SC),30 mins,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,Archery,201.78+(18% Gst + 5% SC),10 shots,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,cycling,100+tax (18% Gst + 5% SC,1 hour,,Min 1
Sterling Kodai Lake,Outdoor,Electric scooter,400+tax(23% Gst+5% SC),1 hour,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,kiddie bike,350+(18% Gst + 5% SC),30 mins,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,Kiddie car,350+(18% Gst + 5% SC),30 mins,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,E-cycle,400+(18% Gst + 5% SC),1 hour,,Min 1/Max 1
Sterling Kodai Lake,Outdoor,Photography,200+23.9 tax (18% Gst + 5% SC),Depend,,Min 1
Sterling Kodai Lake,Outdoor,tandem cycle double,400+(18% Gst + 5% SC),Depend on player,,Min 2/Max 2
Sterling Kodai Lake,Outdoor,Putting Golf,100+(18% Gst + 5% SC),1 Hour,,Min 2/Max 4
Sterling Kodai Lake,Indoor,Canvas Painting,500+(18% Gst + 5% SC),,,Min 1/Max 1
Sterling Kodai Lake,Indoor,Glass Painting,350+(18% Gst + 5% SC),,,Min 1/Max 1
