primary_name,Name,Type,Timing,Location,A'La'Carte_Buffet_both,Covers,AvgSpendPerPerson,Cuisine,Entertainment,USP,Any Spl Remark
Sterling Kodai Lake,,Lake View,07:30 AM to 10:30 PM,LL,both,74,Apx-1053,Multicuisine,Live band on Spcl Occations,Local Cocktails & Mocktails,Variety of Imported Spirits
Sterling Kodai Lake,,Slate & Pearl,11:00 AM to 11:00 PM,LL,both,42,,Restobar,,,Not operational
Sterling Kodai Lake,,Local Bar,11:00 AM to 11:00 PM,,Al a cate,16,,Multicuisine,Bar Music,,Below Age 21 not allowed
Sterling Kodai Lake,,IRD,07:30 AM to 10:30 PM,,,,,,,,
Sterling Kodai Lake,,Tea Kadai,4:00 PM to 6:00 PM,Ground Level,Street food,Open,125,National Street Food,Local,Street Food,
Sterling Ooty Elk Hill,Nilgiri Express,Restaurant,07:30 AM to 10:30 PM,Lobby Level,Yes,120,900/-,Multi Cuisine,Channel Music,Induction base buffet/Balcony seating/Live Kitchen,Lobby Level
Sterling Ooty Elk Hill,Local Resto Bar,Bar,11:00 AM to 11:00 PM,Lobby Level,Yes (Only Ala carte),20,500/-,Domestic & International,Dj/ Channel music,Open Terrace/City View,Lobby Level
Sterling Ooty Elk Hill,Speciality Restaurant,Restaurant,07:30 PM to 10:30 PM,Lobby Level,Yes (Only Ala carte),40,650/-,Multi Cuisine,Channel Music & Televesion,City View from window,Lobby Level
Sterling Lake Palace Alleppey,The Lakeside,Restaurant,07:30 AM to 10:30 PM,Upper Lobby,Buffet,75,,Multi Cuisine,Channel Music,Overseeing Lake Vembanad,Multicuisine
Sterling Lake Palace Alleppey,Local,Bar,11:00 AM to 11:00 PM,Upper Lobby,,16,,IMFL/FMFL/Beer/Wine/Multi Cuisine,Channel Music,Overseeing Lake Vembanad,
Sterling Lake Palace Alleppey,Café Vembanad,Café,07:30 AM to 10:30 PM,Lobby Level,A La carte,42,,Multi Cuisine,Channel Music,Overseeing Lake Vembanad,
Sterling Lake Palace Alleppey,The Ocean Kitchen,Speciality Restaurant,12:30 PM to 03:30 PM / 07:30 PM to 10:30 PM,Lake Side,A La carte,36,,Southindian,Channel Music,Overseeing Lake Vembanad,
Sterling Munnar,Planters Kitchen,Restaurant,07:30 AM to 10:30 PM,Ground Level,both,120,650,Mixed,Channel Music,Sea food & Tandoor food,
Sterling Thekkady,Cinnamon Restaurant,Restaurant,07:30 AM to 10:30 PM,Lobby Level,both,58,1000,Mixed,Channel music,Authentic South Indian,
Sterling Thekkady,Black Pepper,Bar,11:00 AM to 10:00 PM,8th Floor,A'la'carte,20,1500,Multi-cuisine,Channel music,,
Sterling Manali,Kullu Kitchen,Restaurant,07:30 AM to 10:30 PM,Ground Floor,both,68,700,Multicuisine,Channel Music,Local Himachal Preparations,
Sterling Manali,Local,,,,,,,,,,
Sterling Kufri,Flavours,Restaurant,07:30 AM to 10:30 PM,Ground Level (Premier block -4 level),Both,76 Covers,1200+GST 18%,Mixed,Channel Music,"Terrace Attached to the coffee shop, facing Himalayas. Speciality Himachali Cusines",
Sterling Kufri,Pint O Fun,Bar,12:00 PM to 10:30 PM,"Below Lobby Level, -(1 level)",A'La'Carte,16 Covers,1500+GST 18%,Cocktail Snacks,Channel Music,,
Sterling Gir,Hiran Kinaro,Restaurant,07:30 AM to 10:30 PM,Lobby Level,Both,48,1000,Mixed,Recorded instrumental music,"Kathiawadi food, Pure Veg",Ground floor
